demand_class,adjacent_comparisons,crossing_count,crossing_rate_percent,affected_series_day_share_percent,mean_positive_crossing_magnitude,maximum_positive_crossing_magnitude
Smooth,112000,10,0.008928571428571428,0.06428571428571428,0.00644949437119065,0.0211618803441524
Erratic,112000,9,0.008035714285714285,0.04285714285714286,0.009044116155968757,0.0182529985904693
Intermittent,112000,2289,2.04375,15.721428571428572,0.0019242797231573583,0.0229880809783935
Lumpy,112000,612,0.5464285714285714,4.107142857142857,0.002866626686726712,0.07019835710525521
