model,total_cost,total_demand,fulfilled_units,series,fill_rate
arima_sarima,741.7618245173737,49336.0,49079.33634522741,455,0.9947976395578769
ets,694.2652216197279,49336.0,49116.85068123788,455,0.9955580241859469
seasonal_naive,605.2867439670983,49336.0,49045.097832432206,455,0.994103653162644
tirex2,809.1603945017405,49336.0,48893.872583701035,455,0.9910384421862541
xgboost,662.6689637272322,49336.0,49233.06104552848,455,0.9979135123546391
