review_period,lead_time,protection_period,model,quantile_level,total_cost,fill_rate,mean_terminal_on_hand,mean_terminal_pipeline,mean_terminal_inventory_position,series
7,21,28,seasonal_naive,0.99,641.3264253046433,0.9943659642560418,185.27597263265903,56.017482811550664,241.2934554442097,500
7,21,28,xgboost,0.99,709.7930031251765,0.9980063340407972,155.08323288249923,53.70989014457873,208.79312302707797,500
7,21,28,ets,0.99,743.7322335845874,0.9957379471318404,164.49127905473154,56.28310927408098,220.7743883288125,500
7,21,28,arima_sarima,0.99,791.5882738130235,0.9950234808920292,157.24134774987255,56.756140846326446,213.997488596199,500
7,21,28,tirex2,0.99,865.437335695899,0.9914371154823666,186.60445540348658,53.70747527673367,240.31193068022026,500
14,7,21,ets,0.99,342.2332042373059,0.9992183648625453,124.56462006694008,0.0,124.56462006694008,500
14,14,28,xgboost,0.99,346.59232684414434,0.9999218665322341,178.70589388942088,0.0,178.70589388942088,500
21,7,28,xgboost,0.99,373.34097671888026,0.9998431317654954,206.28523561397407,0.0,206.28523561397407,500
