purpose,model_a,model_b,metric,point_difference_a_minus_b,ci_lower,ci_upper,interval_excludes_zero,bootstrap_unit,bootstrap_resamples,random_seed
validation,seasonal_naive,ets,mae,0.40914977223460003,0.3680288219345025,0.452991277714087,True,SKU-store series,2000,2026
validation,seasonal_naive,ets,rmsse,0.20035202084993775,0.1868627863005375,0.21520442060475925,True,SKU-store series,2000,2026
validation,seasonal_naive,ets,wape,11.506592497708759,10.165129166471417,13.076546143657378,True,SKU-store series,2000,2026
validation,seasonal_naive,arima_sarima,mae,0.39609047665962827,0.3510235164686917,0.4441318844572676,True,SKU-store series,2000,2026
validation,seasonal_naive,arima_sarima,rmsse,0.19770230420302115,0.1840504549163401,0.21217534538185584,True,SKU-store series,2000,2026
validation,seasonal_naive,arima_sarima,wape,11.139323583766483,9.688110118551936,12.737649322110931,True,SKU-store series,2000,2026
validation,seasonal_naive,xgboost,mae,0.3940669742384926,0.33015625875679167,0.4600599817768636,True,SKU-store series,2000,2026
validation,seasonal_naive,xgboost,rmsse,0.1789085307535,0.16127000479082718,0.19721554723875462,True,SKU-store series,2000,2026
validation,seasonal_naive,xgboost,wape,11.082416261904932,9.574536224508762,12.686913130178597,True,SKU-store series,2000,2026
validation,seasonal_naive,tirex2,mae,0.5707580747600378,0.5155363082602265,0.6303327141194315,True,SKU-store series,2000,2026
validation,seasonal_naive,tirex2,rmsse,0.19367828056300618,0.1790362307456293,0.20815742521857347,True,SKU-store series,2000,2026
validation,seasonal_naive,tirex2,wape,16.051531802576342,14.444072464857253,17.838620871334193,True,SKU-store series,2000,2026
validation,ets,arima_sarima,mae,-0.013059295574971763,-0.03613334031839014,0.011150704609146848,False,SKU-store series,2000,2026
validation,ets,arima_sarima,rmsse,-0.0026497166469166,-0.007125128898114372,0.0018027308852227447,False,SKU-store series,2000,2026
validation,ets,arima_sarima,wape,-0.3672689139422758,-1.0220723643782113,0.3036651570089488,False,SKU-store series,2000,2026
validation,ets,xgboost,mae,-0.015082797996107455,-0.05826981519162575,0.025684761585766335,False,SKU-store series,2000,2026
validation,ets,xgboost,rmsse,-0.021443490096437756,-0.03344760077311065,-0.010424308102490815,True,SKU-store series,2000,2026
validation,ets,xgboost,wape,-0.42417623580382724,-1.7434490112409988,0.6852116382820184,False,SKU-store series,2000,2026
validation,ets,tirex2,mae,0.16160830252543779,0.12892846837856775,0.19918815048189178,True,SKU-store series,2000,2026
validation,ets,tirex2,rmsse,-0.006673740286931573,-0.013526878560866073,0.0004226580473216808,False,SKU-store series,2000,2026
validation,ets,tirex2,wape,4.544939304867583,3.6957483344578934,5.4804709812416705,True,SKU-store series,2000,2026
validation,arima_sarima,xgboost,mae,-0.0020235024211356922,-0.04413514305223111,0.03661551199254538,False,SKU-store series,2000,2026
validation,arima_sarima,xgboost,rmsse,-0.018793773449521156,-0.03054697233559028,-0.008150411345882307,True,SKU-store series,2000,2026
validation,arima_sarima,xgboost,wape,-0.05690732186155145,-1.3348616940865392,0.993655298660097,False,SKU-store series,2000,2026
validation,arima_sarima,tirex2,mae,0.17466759810040955,0.14280526508902763,0.21116258403163643,True,SKU-store series,2000,2026
validation,arima_sarima,tirex2,rmsse,-0.004024023640014973,-0.010530766850034696,0.0028686191656097336,False,SKU-store series,2000,2026
