comparison,configuration_a,configuration_b,cluster_unit,point_cost_difference_a_minus_b,point_fill_difference_a_minus_b_pp,clusters,cost_ci_lower,cost_ci_upper,fill_difference_ci_lower_pp,fill_difference_ci_upper_pp,bootstrap_resamples,random_seed
baseline_q099,seasonal_naive_R7_L21,xgboost_R7_L21,item_id,-68.4665778205333,-0.36403697847553484,424,-155.60324549072496,54.87869187426285,-1.0120518352215377,0.0670849116978539,2000,2026
baseline_q099,seasonal_naive_R7_L21,xgboost_R7_L21,store_id,-68.4665778205333,-0.36403697847553484,10,-142.54784774264118,46.32752178665991,-1.0161287008014577,0.014583708532809343,2000,2026
best_timing_q099,ets_R14_L7,xgboost_R14_L14,item_id,-4.359122606838412,-0.07035016696886887,424,-19.308243057856295,16.576400451997692,-0.18078605186879315,-0.0027863453782764457,2000,2026
best_timing_q099,ets_R14_L7,xgboost_R14_L14,store_id,-4.359122606838412,-0.07035016696886887,10,-19.564613985071002,18.804027783720006,-0.18577597967898013,-0.0019589675218825743,2000,2026
