scenario,model,quantile_level,series,holding_cost,ordering_cost,lost_sales_cost,total_cost,total_demand,fulfilled_units,lost_units,average_inventory,ending_inventory,ending_pipeline,units_ordered,order_count,stockout_days,cycle_service_level,fill_rate,orders_per_series,demand_class,meets_minimum_fill_rate,eligible_cost_rank,pareto_efficient,pareto_recomputed
baseline,seasonal_naive,0.9,500,81.9573899420801,373.0,350.85872769067976,805.8161176327599,51633.0,50511.28660197528,1121.7133980247263,93.48376864223349,50752.39470962832,27763.039881610017,40803.84520247865,746,156,0.977,0.9782752619831364,1.492,Overall,True,1.0,False,False
baseline,ets,0.9,500,66.94218733896795,532.5,447.879511464164,1047.321698803132,51633.0,50236.86398171758,1396.1360182824246,77.03402992232012,42235.95722303668,27949.767679548204,40769.04689493163,1065,250,0.952,0.9729603931926788,2.13,Overall,True,2.0,False,False
baseline,arima_sarima,0.9,500,58.75620551182698,567.0,521.1576106321968,1146.9138161440237,51633.0,50046.93916073189,1586.060839268109,68.05766755455122,37578.36536820223,27759.296558593174,40228.98468266991,1134,278,0.9475,0.9692820320479516,2.268,Overall,True,3.0,False,False
baseline,xgboost,0.9,500,53.97270775429665,546.5,581.7794516927028,1182.2521594469997,51633.0,49825.960809277945,1807.0391907220528,65.47737946569598,36919.44947526812,26163.713232955102,38974.08828599551,1093,294,0.95,0.9650022429314188,2.186,Overall,True,4.0,False,False
baseline,tirex2,0.9,500,69.75895987457505,618.0,532.8113327182807,1220.5702925928558,51633.0,49677.856696998286,1955.1433030017165,78.40471486750843,43985.93442536036,26207.858103549628,38543.08034271176,1236,301,0.9375,0.962133842639364,2.472,Overall,True,5.0,False,False
baseline,seasonal_naive,0.95,500,100.31936946450811,373.5,261.7636062507995,735.5829757153076,51633.0,50836.639137711085,796.3608622889157,114.98821140667188,61757.880787500246,27962.64856872108,41175.07613967723,747,99,0.9865,0.9845765138130864,1.494,Overall,True,1.0,False,False
baseline,ets,0.95,500,86.09322107137105,533.0,271.9901194070616,891.0833404784327,51633.0,50869.3716802146,763.6283197853955,99.85987401729275,54096.63961403059,28318.794617932886,41376.08977422176,1066,126,0.9745,0.9852104599813026,2.132,Overall,True,2.0,False,False
baseline,xgboost,0.95,500,71.51574514981728,551.5,294.1729480578689,917.188693207686,51633.0,50754.90938527842,878.0906147215828,86.77963139365876,47611.37818787796,26549.696630499147,39586.80538270857,1103,132,0.977,0.9829936162004612,2.206,Overall,True,3.0,False,False
baseline,arima_sarima,0.95,500,79.04907144925062,565.5,323.1568728449376,967.7059442941884,51633.0,50716.51444087984,916.485559120158,91.71642175033244,49659.06017524004,28020.6812087555,40704.18557837522,1131,134,0.977,0.9822500036968576,2.262,Overall,True,4.0,False,False
baseline,tirex2,0.95,500,89.740942901809,618.0,318.51491012795555,1026.2558530297645,51633.0,50432.41264720646,1200.58735279354,102.443549879656,55319.79826211057,26465.80040241634,38899.45562415921,1236,165,0.966,0.9767476739140948,2.472,Overall,True,5.0,False,False
baseline,seasonal_naive,0.99,500,152.66367922418237,380.5,108.1627460804609,641.3264253046433,51633.0,51342.097832432206,290.9021675677968,177.78124594899575,92637.98631632952,28008.74140577533,41146.34168190335,761,33,0.996,0.9943659642560418,1.522,Overall,True,1.0,True,True
baseline,xgboost,0.99,500,122.31672949507832,547.5,39.97627363009813,709.7930031251765,51633.0,51530.06104552848,102.93895447151928,148.22465125471183,77541.61644124961,26854.945072289363,39855.01234463125,1095,14,0.997,0.9980063340407972,2.19,Overall,True,2.0,True,True
baseline,ets,0.99,500,135.6630851362086,525.5,82.56914844837881,743.7322335845874,51633.0,51412.93742425832,220.06257574167577,160.15519259642957,82245.63952736577,28141.554637040488,40764.76775362492,1051,23,0.9965,0.9957379471318404,2.102,Overall,True,3.0,False,False
baseline,arima_sarima,0.99,500,128.40117649094142,568.0,95.18709732208214,791.5882738130235,51633.0,51376.04738889815,256.9526111018501,150.9121831408033,78620.67387493627,28378.070423163223,41113.96529973171,1136,29,0.9955,0.9950234808920292,2.272,Overall,True,4.0,False,False
baseline,tirex2,0.99,500,153.6611489412513,608.5,103.27618675464772,865.437335695899,51633.0,51190.87258370104,442.1274162989676,179.45667541100835,93302.2277017433,26853.737638366834,39350.811398634025,1217,36,0.995,0.9914371154823666,2.434,Overall,True,5.0,False,False
